Event 01 (Sec),Event 02 (cm),Event 03 (cm),Event 04 (Sec),Event 05 (Sec),Event 06 (cm),Event 07 (cm)
8.769,79.1,81.35,5.24,9.61,27,36
8.578,75.7,79.40,6.95,7.85,44,61
8.476,76,80.60,4.61,5.27,31,50
8.165,66.2,81.00,4.85,5.34,7,53
8.759,81.8,81.80,5.95,7.16,38,43
9.087,70.5,83.30,4.41,7.74,36,58
8.586,73.55,81.60,5.55,5.75,42,44
8.688,74.8,81.65,6.14,7.24,30,49
8.88,75.05,82.00,5.79,6.42,25,37
8.901,68.25,81.20,3.7,6.56,21,109
8.435,67.65,82.60,4.92,8.12,24,65
8.633,85.8,80.90,6.84,8.92,34,59
7.918,76.8,80.80,4.17,8.57,28,50
8.606,76.8,78.70,6.28,7.04,21,39
8.738,76.55,81.20,4.46,8.93,29,33
8.802,67.2,79.85,5.96,6.54,51,60
8.586,72.7,106.55,10.65,11.48,50,78
8.439,79.05,105.10,10.37,11.86,120,130
9.121,70.3,99.60,8.61,12.48,57,130
8.626,55.35,100.50,8.55,11.1,130,130
8.622,71.4,99.80,11.05,11.27,46,106
8.66,78.55,104.85,9.88,12.54,107,130
8.893,72.4,95.40,7.02,9.43,49,130
8.845,69.8,91.65,8.07,12.59,52,130
8.988,70.7,89.10,7.72,12.58,45,49
8.785,72.3,102.40,9.54,9.58,120,130
9.029,73.05,92.50,8.69,11.31,118,130
8.619,69.6,104.50,10.87,11.33,130,130
8.827,82.4,107.55,10.58,12.36,57,130
8.685,72.6,90.75,8.44,10.15,74,130
8.862,82.45,96.50,10.74,10.99,130,130
8.766,64.65,100.20,8.38,10.36,77,82
